population/superpopulation,power,her,num_causals,pheno_num,train,test
AMR,-1,0.1,1,1,0.913663732557405,0.027187835028074262
AMR,-1,0.1,1,2,0.9133009799205175,0.06920917089016917
AMR,-1,0.1,1,3,0.9568800159339733,0.0008786876693739136
AMR,-1,0.1,1,4,0.9093104878843894,0.00042015777723513633
AMR,-1,0.1,1,5,0.9016435450465369,0.013889469916095529
AMR,-1,0.1,1,6,0.9245477966170157,0.0006093100868851045
AMR,-1,0.1,1,7,0.9245681901525097,0.003247779150601674
AMR,-1,0.1,1,8,0.8438283975131972,0.0001793346926282864
AMR,-1,0.1,1,9,0.9348648672327297,0.04459016037519106
AMR,-1,0.1,1,10,0.8986831266476374,8.714491431079296e-05
AMR,-1,0.1,1,11,0.8427909368881525,0.05971678359071073
AMR,-1,0.1,1,12,0.9325282740227588,0.01702013337403967
AMR,-1,0.1,1,13,0.8833995190350415,0.10139859100879432
AMR,-1,0.1,1,14,0.9081628214330063,0.02524171226723597
AMR,-1,0.1,1,15,0.8925054921490128,0.10330459113136714
AMR,-1,0.1,1,16,0.9178346182314695,0.007811926565441908
AMR,-1,0.1,1,17,0.9631617557594128,0.030794651102595327
AMR,-1,0.1,1,18,0.9234705986998143,0.05172922870878368
AMR,-1,0.1,1,19,0.9494075163772205,0.061274016706240275
AMR,-1,0.1,1,20,0.8958343869228722,0.06534835424476433
