population/superpopulation,power,her,num_causals,pheno_num,train,test
EAS,-1,0.5,10,1,0.8602620539092336,0.21038357846002478
EAS,-1,0.5,10,2,0.9149460746899706,0.37484069780911455
EAS,-1,0.5,10,3,0.902421641547934,0.0018400663140543292
EAS,-1,0.5,10,4,0.8255912943534501,0.03138362764350503
EAS,-1,0.5,10,5,0.8549528798954904,0.21708475723117251
EAS,-1,0.5,10,6,0.9430381045543013,0.5045212718462595
EAS,-1,0.5,10,7,0.9202555772796913,0.02056191953588582
EAS,-1,0.5,10,8,0.748882248900703,3.129319702926237e-06
EAS,-1,0.5,10,9,0.9145011286320098,0.47592663985607897
EAS,-1,0.5,10,10,0.8821593514348249,0.07080474490366842
EAS,-1,0.5,10,11,0.911419449416316,0.27725646052784103
EAS,-1,0.5,10,12,0.9127043942423997,0.03860036182003868
EAS,-1,0.5,10,13,0.857607413328777,0.004258377393006836
EAS,-1,0.5,10,14,0.8858630240969019,0.4104844233547868
EAS,-1,0.5,10,15,0.9489669760893372,0.030328490653673257
EAS,-1,0.5,10,16,0.9034700922656228,0.6880440851196784
EAS,-1,0.5,10,17,0.8390263606229079,0.12214187502212775
EAS,-1,0.5,10,18,0.86834678663769,0.41100334015290224
EAS,-1,0.5,10,19,0.8318383170635975,0.35709283891917093
EAS,-1,0.5,10,20,0.9601899778480244,0.6183204198837012
