population/superpopulation,power,her,num_causals,pheno_num,train,test
AFR,-0.25,0.3,512,1,0.9471090959455754,0.1089104500243555
AFR,-0.25,0.3,512,2,0.955358590860082,0.16670615787069398
AFR,-0.25,0.3,512,3,0.8282423151795101,0.06795613858201945
AFR,-0.25,0.3,512,4,0.8846469961830811,0.13965721780991616
AFR,-0.25,0.3,512,5,0.8730313597620243,0.025404705389329315
AFR,-0.25,0.3,512,6,0.9589103041982662,0.08135782624443257
AFR,-0.25,0.3,512,7,0.935362075343053,0.12013841223916182
AFR,-0.25,0.3,512,8,0.9216904539116585,0.1385743341749122
AFR,-0.25,0.3,512,9,0.9125764892780965,0.05828846960842744
AFR,-0.25,0.3,512,10,0.8694972665654134,0.1081361953925048
AFR,-0.25,0.3,512,11,0.9468562541051706,0.047801270967298366
AFR,-0.25,0.3,512,12,0.9030501507499187,0.02835368027236345
AFR,-0.25,0.3,512,13,0.9203338598335477,0.15962652868745567
AFR,-0.25,0.3,512,14,0.8777630721641995,0.009183583105046184
AFR,-0.25,0.3,512,15,0.8646160899587849,0.12015809127962655
AFR,-0.25,0.3,512,16,0.9453395638072888,0.08189919879804754
AFR,-0.25,0.3,512,17,0.9315314054767779,0.02924493456181934
AFR,-0.25,0.3,512,18,0.8728568724455003,0.12525160190503043
AFR,-0.25,0.3,512,19,0.9297425372505579,0.12687367774361016
AFR,-0.25,0.3,512,20,0.9350898300825554,0.04072388769981258
