population/superpopulation,power,her,num_causals,pheno_num,train,test
EUR,-0.25,0.9,1,1,0.9596085139523537,0.9249019560913142
EUR,-0.25,0.9,1,2,0.9279886808435894,0.8442414390392945
EUR,-0.25,0.9,1,3,0.8309733705782687,0.0035199178196873137
EUR,-0.25,0.9,1,4,0.8989726520574074,0.5937834890716426
EUR,-0.25,0.9,1,5,0.9372522142205226,0.8760938084618515
EUR,-0.25,0.9,1,6,0.9356813232551789,0.8887339303357717
EUR,-0.25,0.9,1,7,0.9317228143663114,0.9134650249776525
EUR,-0.25,0.9,1,8,0.9477493384736768,6.939441133551035e-05
EUR,-0.25,0.9,1,9,0.9362390390089166,0.9151951364182949
EUR,-0.25,0.9,1,10,0.9041323313572999,0.8337374769877416
EUR,-0.25,0.9,1,11,0.8008762255457598,0.00519682156804405
EUR,-0.25,0.9,1,12,0.9156815727828678,0.8275776375103397
EUR,-0.25,0.9,1,13,0.9640088873224707,0.9374058800603845
EUR,-0.25,0.9,1,14,0.9130209167000736,0.2845449945672528
EUR,-0.25,0.9,1,15,0.9585092343852137,0.9769061744712306
EUR,-0.25,0.9,1,16,0.9230536643869731,0.7865567984506231
EUR,-0.25,0.9,1,17,0.9331486004371401,0.873737645101118
EUR,-0.25,0.9,1,18,0.9697549256798996,0.9388332321057291
EUR,-0.25,0.9,1,19,0.9628106730692174,0.9212747306128847
EUR,-0.25,0.9,1,20,0.9314125120900624,0.9236014476493537
