population/superpopulation,power,her,num_causals,pheno_num,train,test
AMR,-0.25,0.5,10,1,0.9135030857325569,0.16551333967004087
AMR,-0.25,0.5,10,2,0.9057562519077447,0.1444764127039384
AMR,-0.25,0.5,10,3,0.9482724099855443,0.020163842686038682
AMR,-0.25,0.5,10,4,0.9678521963692864,0.016936939993574103
AMR,-0.25,0.5,10,5,0.9420517732409425,0.3266654610346892
AMR,-0.25,0.5,10,6,0.9308428807117937,0.2817026552149165
AMR,-0.25,0.5,10,7,0.9576903514867239,0.1304826425977919
AMR,-0.25,0.5,10,8,0.9571352487567033,0.02429873880948849
AMR,-0.25,0.5,10,9,0.9433040393603679,0.09900534563427106
AMR,-0.25,0.5,10,10,0.9051568642800966,0.2738487109065686
AMR,-0.25,0.5,10,11,0.923460846600297,0.0078124526438935376
AMR,-0.25,0.5,10,12,0.9527059534425599,0.18179283521867082
AMR,-0.25,0.5,10,13,0.8984944975004773,0.45931612367553193
AMR,-0.25,0.5,10,14,0.9294899950307937,0.29272984931681395
AMR,-0.25,0.5,10,15,0.9417722486265936,0.019622811580586624
AMR,-0.25,0.5,10,16,0.8863735871701942,0.10012125594111912
AMR,-0.25,0.5,10,17,0.9285770868794452,0.22304015220050324
AMR,-0.25,0.5,10,18,0.8838923014393398,0.3985078176195674
AMR,-0.25,0.5,10,19,0.8867233073712859,0.423031866521395
AMR,-0.25,0.5,10,20,0.9009017125761627,0.3751520561254182
