population/superpopulation,power,her,num_causals,pheno_num,train,val,test
EUR,-1,0.3,512,1,0.9094891191653544,0.23377056556641995,0.10833020035365262
EUR,-1,0.3,512,2,0.9301777786946626,0.21851469064298343,0.038885953918624254
EUR,-1,0.3,512,3,0.9270660351108214,0.27458566794463674,0.049982613176694536
EUR,-1,0.3,512,4,0.9259173032013649,0.15448559607622384,0.15311355766899667
EUR,-1,0.3,512,5,0.9288189511231318,0.293584054218434,0.052577083596529545
EUR,-1,0.3,512,6,0.9235692508053065,0.27132917847461585,0.12731966251965238
EUR,-1,0.3,512,7,0.9161981418374743,0.10073471163315323,0.08003787977980492
EUR,-1,0.3,512,8,0.9307050242443824,0.1455698607252678,0.09839759327813133
EUR,-1,0.3,512,9,0.9325691290630913,0.15651538073404717,0.2227317374129008
EUR,-1,0.3,512,10,0.9183851043423447,0.13533339946495526,0.0044103218542090586
EUR,-1,0.3,512,11,0.9239199629958672,0.0882700099656215,0.03360690674705614
EUR,-1,0.3,512,12,0.9275548555933513,0.058758298500246685,0.05146871997565982
EUR,-1,0.3,512,13,0.8715929833712387,0.15946234711333412,0.04925449188965517
EUR,-1,0.3,512,14,0.928503716854322,0.23783453830138293,0.051274176874841725
EUR,-1,0.3,512,15,0.9192972981069493,0.14724008563565819,0.18827666307647173
EUR,-1,0.3,512,16,0.9198203035593968,0.24566195788688844,0.10946549642589812
EUR,-1,0.3,512,17,0.9339878578780468,0.07574749153624726,0.058810112207988444
EUR,-1,0.3,512,18,0.9155848406913834,0.1374948379182059,0.1706676859366106
EUR,-1,0.3,512,19,0.9202407448510769,0.4305819424803882,0.25607243538549934
EUR,-1,0.3,512,20,0.8971271641005321,0.25401597554443633,0.07824839394132337
