population/superpopulation,power,her,num_causals,pheno_num,train,val,test
AMR,-1,0.1,1,1,0.8899813840625828,-1,0.00011650245540452784
AMR,-1,0.1,1,2,0.8678938722597145,-1,0.07387008248470427
AMR,-1,0.1,1,3,0.5483655153749682,-1,0.00037834143352664116
AMR,-1,0.1,1,4,0.9026341169302994,-1,0.008597194550318604
AMR,-1,0.1,1,5,0.7043997313894408,-1,0.01705499561552811
AMR,-1,0.1,1,6,0.8529227650677185,-1,0.0007021914048533104
AMR,-1,0.1,1,7,0.666185565823765,-1,0.005196577366007864
AMR,-1,0.1,1,8,0.924329934537552,-1,0.0005804069313646186
AMR,-1,0.1,1,9,0.8459892885549126,-1,0.005728694114764442
AMR,-1,0.1,1,10,0.7116068852818762,-1,0.002151592292269678
AMR,-1,0.1,1,11,0.5084431214911161,-1,0.04425498744706503
AMR,-1,0.1,1,12,0.431587016223837,-1,0.0009146672826833022
AMR,-1,0.1,1,13,0.8050646071076082,-1,0.0004926206035640092
AMR,-1,0.1,1,14,0.8710178592644913,-1,0.010327518389903608
AMR,-1,0.1,1,15,0.5958432344755591,-1,0.03544598798310704
AMR,-1,0.1,1,16,0.8632618821893001,-1,0.0020155504367519346
AMR,-1,0.1,1,17,0.8984911710989717,-1,0.009715030173937945
AMR,-1,0.1,1,18,0.5992336643096312,-1,0.07659073277733901
AMR,-1,0.1,1,19,0.6909816304195474,-1,0.003496113413288803
AMR,-1,0.1,1,20,0.6097331954412928,-1,0.08513158180906183
