population/superpopulation,power,her,num_causals,pheno_num,train,val,test
AMR,-0.25,0.9,10,1,0.5308311517197223,-1,0.5219109573385591
AMR,-0.25,0.9,10,2,0.44727738899684066,-1,0.11790437410142085
AMR,-0.25,0.9,10,3,0.8736946404942879,-1,0.07174661290806443
AMR,-0.25,0.9,10,4,0.777431624794215,-1,5.840348799851159e-11
AMR,-0.25,0.9,10,5,0.6826497473614865,-1,0.462200530328435
AMR,-0.25,0.9,10,6,0.6903254383184418,-1,0.05596131934322383
AMR,-0.25,0.9,10,7,0.9141485328845648,-1,0.00046145228163104845
AMR,-0.25,0.9,10,8,0.8504550045495846,-1,0.16359990021541074
AMR,-0.25,0.9,10,9,0.6888244789048837,-1,0.6469047991108768
AMR,-0.25,0.9,10,10,0.6058708855524788,-1,0.8283110811792441
AMR,-0.25,0.9,10,11,0.6438845178100036,-1,0.12007010979444198
AMR,-0.25,0.9,10,12,0.46198881292594624,-1,0.18952318305645302
AMR,-0.25,0.9,10,13,0.7282430116865047,-1,0.6984657491315482
AMR,-0.25,0.9,10,14,0.6742215613697403,-1,0.3884450260961377
AMR,-0.25,0.9,10,15,0.7072041649933438,-1,0.01162429917857735
AMR,-0.25,0.9,10,16,0.4654025755771073,-1,0.13104335034812445
AMR,-0.25,0.9,10,17,0.8859459361033402,-1,0.02000272257275139
AMR,-0.25,0.9,10,18,0.817054826151977,-1,0.8302284529723069
AMR,-0.25,0.9,10,19,0.848809158191522,-1,0.9123505411901167
AMR,-0.25,0.9,10,20,0.9376548370615153,-1,0.005564571079656949
