population/superpopulation,power,her,num_causals,pheno_num,train,val,test
EAS,-0.25,0.7,250,1,0.8978948939137867,0.17079549383582143,0.19707210913404352
EAS,-0.25,0.7,250,2,0.7634310313183844,0.4598881233769911,0.41732998953601386
EAS,-0.25,0.7,250,3,0.8934631720622944,0.37102451401924536,0.22188960343615743
EAS,-0.25,0.7,250,4,0.7711271458631382,0.1906191921803151,0.019679050461482734
EAS,-0.25,0.7,250,5,0.8757479725453606,0.14538234903961814,0.029698676608965906
EAS,-0.25,0.7,250,6,0.807080369385829,0.5465891489728039,0.4356267437350885
EAS,-0.25,0.7,250,7,0.8491236992644637,0.4353862978025642,0.5455866133711852
EAS,-0.25,0.7,250,8,0.9216743530315809,0.19040522728879086,0.26082526990846827
EAS,-0.25,0.7,250,9,0.779971533005338,0.3774681039428716,0.4409409713634393
EAS,-0.25,0.7,250,10,0.8849140378405007,0.14814927337445302,0.09836156417429034
EAS,-0.25,0.7,250,11,0.9144602282567117,0.1766227326228146,0.2918712082367726
EAS,-0.25,0.7,250,12,0.9129915871522288,0.27291799981866494,0.13248675001312954
EAS,-0.25,0.7,250,13,0.7909470129644893,0.10665998772601697,0.2708360726334227
EAS,-0.25,0.7,250,14,0.8864503458291493,0.42290100396095626,0.37090740035003567
EAS,-0.25,0.7,250,15,0.9276844654980976,0.19103845986340323,0.15413704805944548
EAS,-0.25,0.7,250,16,0.8831601559869787,0.24411642616485454,0.14379655596417304
EAS,-0.25,0.7,250,17,0.9088547488147307,0.27005282845032424,0.2548031942071366
EAS,-0.25,0.7,250,18,0.8542788440486512,0.21288764233921378,0.0354210650323238
EAS,-0.25,0.7,250,19,0.8563715376462002,0.3080501116168385,0.4086143811699538
EAS,-0.25,0.7,250,20,0.9301419997513882,0.3659167427449011,0.2019351072850769
