population/superpopulation,power,her,num_causals,pheno_num,train,val,test
AFR,-0.25,0.1,1,1,0.8995249950826141,0.047090428439902285,0.014353208740285707
AFR,-0.25,0.1,1,2,0.9119555951915759,0.06923863251658348,0.09724946677678414
AFR,-0.25,0.1,1,3,0.8942030099453487,0.22810352319407923,0.2103295922344642
AFR,-0.25,0.1,1,4,0.9216133307503207,0.11304246989382966,0.2861461483979485
AFR,-0.25,0.1,1,5,0.9257845279298113,0.05417067122511209,0.006069905402852778
AFR,-0.25,0.1,1,6,0.9234581274329617,0.072645959845202,0.053298486171023327
AFR,-0.25,0.1,1,7,0.9277062069691545,0.1673723414664554,0.15763526669344838
AFR,-0.25,0.1,1,8,0.9310533833882005,0.3967096171353617,0.2623154837434815
AFR,-0.25,0.1,1,9,0.8986171719636256,0.005230090240099388,0.004130364861220398
AFR,-0.25,0.1,1,10,0.9168796057741985,0.0845727013190114,0.10162453886621704
AFR,-0.25,0.1,1,11,0.9113641521279482,0.0197576199139142,0.05889279623721321
AFR,-0.25,0.1,1,12,0.8543581364800122,0.13480482882270622,0.18186768619037605
AFR,-0.25,0.1,1,13,0.9405684450272225,0.03760052694625955,0.0011052268647932092
AFR,-0.25,0.1,1,14,0.875852083386918,0.22252700811813353,0.13590804515763838
AFR,-0.25,0.1,1,15,0.9201331085554256,0.028937500734763432,0.004744806105601311
AFR,-0.25,0.1,1,16,0.9303983327431213,0.1066115592351023,0.11078392097343867
AFR,-0.25,0.1,1,17,0.9124411337225744,0.1313051720901299,0.0948563486019114
AFR,-0.25,0.1,1,18,0.9189705813545803,0.011979742479131888,0.0024838785273828892
AFR,-0.25,0.1,1,19,0.8988906636244817,0.008783105682182091,0.008957320750758517
AFR,-0.25,0.1,1,20,0.9281893583417408,0.046691923166492094,0.00017933880073082924
