population/superpopulation,power,her,num_causals,pheno_num,train,val,test
AFR,-0.25,0.1,512,1,0.9157924366576693,0.009285915007543414,0.0006969564771632772
AFR,-0.25,0.1,512,2,0.9160577966202925,0.024912889480645534,0.03743427570935569
AFR,-0.25,0.1,512,3,0.9192215060191532,0.06542484269123518,0.07438091914659614
AFR,-0.25,0.1,512,4,0.9286756517669033,0.05043662412041014,0.00020910449827849138
AFR,-0.25,0.1,512,5,0.9348141981878343,0.013145654112862044,0.0010734308544171618
AFR,-0.25,0.1,512,6,0.9245407284546586,0.010522304922623887,6.675369723535816e-06
AFR,-0.25,0.1,512,7,0.9399493982102265,0.010299675182767698,0.001264904466616908
AFR,-0.25,0.1,512,8,0.9263125958291196,0.06648945804186585,0.014604618805676208
AFR,-0.25,0.1,512,9,0.9304421234548703,0.022091666566387735,0.0014273446901238657
AFR,-0.25,0.1,512,10,0.9326339287750524,0.019150562893284706,0.004076125448688437
AFR,-0.25,0.1,512,11,0.925081083194654,0.0352205484552205,0.0053576494958457385
AFR,-0.25,0.1,512,12,0.9383466537299578,0.01432472652234553,0.02971185204982634
AFR,-0.25,0.1,512,13,0.9320625454524504,0.012856292031074164,0.0019967935644894233
AFR,-0.25,0.1,512,14,0.926308301294881,0.0162225656291775,0.00831403294975278
AFR,-0.25,0.1,512,15,0.9099716958095588,0.04698543609483328,0.01516984454675363
AFR,-0.25,0.1,512,16,0.9140936928469086,0.020229545817474322,0.000323630221797013
AFR,-0.25,0.1,512,17,0.9262414712461962,0.12016454069410616,0.010771012213986951
AFR,-0.25,0.1,512,18,0.9111544570418598,0.010701747116184133,0.0012009400660037658
AFR,-0.25,0.1,512,19,0.8918986386055464,0.03757808485093433,0.012485046551710259
AFR,-0.25,0.1,512,20,0.8937719782306204,0.015875933509132658,0.03481846067541787
