population/superpopulation,power,her,num_causals,pheno_num,train,val,test
EAS,-0.25,0.9,250,1,0.9007104810232515,0.2469353760706547,0.23754141773459628
EAS,-0.25,0.9,250,2,0.7659537994448373,0.4567563957367522,0.49517663561529723
EAS,-0.25,0.9,250,3,0.9146041260339189,0.5893319863766406,0.3342181559500863
EAS,-0.25,0.9,250,4,0.7170136062158813,0.2863191021101082,0.11523541456006137
EAS,-0.25,0.9,250,5,0.8860892248649274,0.20914458270830172,0.2222045577681692
EAS,-0.25,0.9,250,6,0.7676412648154138,0.570693349955537,0.5940781861687285
EAS,-0.25,0.9,250,7,0.8356054603206805,0.620096000923724,0.6997141967247739
EAS,-0.25,0.9,250,8,0.868457313196977,0.2722519047891853,0.4445666703826775
EAS,-0.25,0.9,250,9,0.7558924104743722,0.5444804993916762,0.49135987759164385
EAS,-0.25,0.9,250,10,0.920046242632302,0.3910254227008231,0.46969212555055523
EAS,-0.25,0.9,250,11,0.9023254226147741,0.35204924387053466,0.3331223876444251
EAS,-0.25,0.9,250,12,0.89244729735626,0.3962575035623247,0.24748652014107428
EAS,-0.25,0.9,250,13,0.8532177970869256,0.556568099297359,0.5762974036396198
EAS,-0.25,0.9,250,14,0.888827411639855,0.6274609860770644,0.5628562954469015
EAS,-0.25,0.9,250,15,0.918432549762281,0.26118555398456805,0.17332100988755805
EAS,-0.25,0.9,250,16,0.875007509438375,0.33731101326124924,0.3560458093776685
EAS,-0.25,0.9,250,17,0.8512917976468107,0.4281797304526472,0.455265359698268
EAS,-0.25,0.9,250,18,0.8105637272570144,0.37509501296088704,0.2687075897800799
EAS,-0.25,0.9,250,19,0.8048596968877576,0.48880489928855847,0.5449778271085063
EAS,-0.25,0.9,250,20,0.935956887693855,0.4754228755523187,0.3826127302936298
