population.superpopulation,power,her,num_causals,pheno_num,train,val,test
AMR,-1,0.7,10,1,0.5730348501503613,0.022340536425505375,0.08467237939396066
AMR,-1,0.7,10,2,0.7378543213329406,0.15697459250769075,0.3291356537939043
AMR,-1,0.7,10,3,0.22225634242882042,-0.06108930259399137,-0.03737667652742216
AMR,-1,0.7,10,4,0.6062923011783845,0.15726475189018763,0.0545837751871322
AMR,-1,0.7,10,5,0.9300216284912286,0.8366924821700112,0.7508881954565035
AMR,-1,0.7,10,6,0.09370261395372548,-0.22985682308998445,0.05351365408628295
AMR,-1,0.7,10,7,0.693256910051889,0.06412638903097678,0.2609025054898877
AMR,-1,0.7,10,8,0.6270125030391875,-0.059086890365934286,-0.08732928121598404
AMR,-1,0.7,10,9,0.6141502024719006,0.019264542436215892,0.2603175659996212
AMR,-1,0.7,10,10,0.8298601179483128,0.2673001331093048,0.24832125445715425
AMR,-1,0.7,10,11,0.2566528230093772,-0.10958363208856259,0.033849186971370404
AMR,-1,0.7,10,12,0.3143262391150682,0.09457392906262418,0.04804461543403593
AMR,-1,0.7,10,13,0.7951517136072335,0.5214224510425045,0.7229267747856661
AMR,-1,0.7,10,14,0.5888222990693894,-0.04189406470495993,0.44129662989794616
AMR,-1,0.7,10,15,0.24596367089100313,-0.016005815124631173,0.025132246680428905
AMR,-1,0.7,10,16,0.901883761048152,0.30824831472874636,0.04496997492475863
AMR,-1,0.7,10,17,0.8530591527995826,0.7669028318506829,0.69135341833699
AMR,-1,0.7,10,18,0.7866555247112185,0.45974356380585435,0.41391003211854305
AMR,-1,0.7,10,19,0.6986601496536358,0.4988506469509465,0.5688787876017303
AMR,-1,0.7,10,20,0.46558910996594494,0.038704614008882476,-0.03748938006303115
