population.superpopulation,power,her,num_causals,pheno_num,train,val,test
AMR,-0.25,0.1,1,1,0.2569621967128074,-0.13217419260067453,-0.06320224012716058
AMR,-0.25,0.1,1,2,0.1665107113434633,-0.031207351301195008,-0.040493804054638094
AMR,-0.25,0.1,1,3,0.24372515696573682,-0.09750324286124923,-0.11650785014943943
AMR,-0.25,0.1,1,4,0.19715360577364238,0.013531182540152287,-0.07320454286885347
AMR,-0.25,0.1,1,5,0.16009726250927003,-0.06534760538554263,0.002058965889625841
AMR,-0.25,0.1,1,6,0.6876418733102532,0.05681343632388458,-0.078630862930789025
AMR,-0.25,0.1,1,7,0.46008286216332295,0.010280482458884133,0.08161826958267171
AMR,-0.25,0.1,1,8,0.20174730089286397,0.008307521688658226,-0.11590402175266945
AMR,-0.25,0.1,1,9,0.40858037244785705,0.07652974222641862,0.10230729125677163
AMR,-0.25,0.1,1,10,0.4304483069983084,0.015781512419330346,-0.06064459259223365
AMR,-0.25,0.1,1,11,0.18988176760891728,-0.06916358819139212,-0.04521552089322012
AMR,-0.25,0.1,1,12,0.1466751024742472,-0.030351334210366065,-0.06835830450804603
AMR,-0.25,0.1,1,13,0.21511583595794903,-0.02923937256546627,-0.023760398822919138
AMR,-0.25,0.1,1,14,0.41998331541765466,0.017486692344089616,-0.07891321437527754
AMR,-0.25,0.1,1,15,0.3871499829921372,0.0895872758396169,0.20500393667706218
AMR,-0.25,0.1,1,16,0.2539711936410639,-0.10900610071742611,-0.04805857495018917
AMR,-0.25,0.1,1,17,0.14097083766577845,-0.04528284225169843,-0.0012808909961403714
AMR,-0.25,0.1,1,18,0.13209807732379908,-0.05590567761718179,-0.020824336868736415
AMR,-0.25,0.1,1,19,0.4053943886109225,-0.0017164657997477129,-0.02058864381165426
AMR,-0.25,0.1,1,20,0.632898110791106,0.06351890741318778,0.04634384071925457
