population.superpopulation,power,her,num_causals,pheno_num,train,val,test
AMR,-0.25,0.9,100,1,0.4735883128648548,0.2664660544697065,0.2037191573969418
AMR,-0.25,0.9,100,2,0.8014524835110848,0.3339856744832712,0.24400519793414066
AMR,-0.25,0.9,100,3,0.7927524976584566,0.28290701775472427,0.5414220905427769
AMR,-0.25,0.9,100,4,0.5051189746040268,-0.08176224957614342,0.10032383325428806
AMR,-0.25,0.9,100,5,0.898465691794158,0.15241917679941808,0.3572526205449398
AMR,-0.25,0.9,100,6,0.7187324426876063,0.22021949579698952,0.26055616996109165
AMR,-0.25,0.9,100,7,0.35232853547282295,0.1114807671673741,0.07472199961809878
AMR,-0.25,0.9,100,8,0.8901082120737092,0.13433967661514024,0.07859874691343616
AMR,-0.25,0.9,100,9,0.8895624599928759,0.19726527299508323,0.45582134808574015
AMR,-0.25,0.9,100,10,0.7255311633441266,0.1754381585541076,0.3169576778109494
AMR,-0.25,0.9,100,11,0.6049586319062858,0.31557208382280943,0.3880439835878211
AMR,-0.25,0.9,100,12,0.14189543114695558,-0.017952441012768716,0.10347237976135903
AMR,-0.25,0.9,100,13,0.7451306909036843,0.14537834088761392,0.22397406502147443
AMR,-0.25,0.9,100,14,0.881198532517527,0.5153603007022375,0.7647669931460468
AMR,-0.25,0.9,100,15,0.6590431676430172,0.3184544956131057,0.35550064378043644
AMR,-0.25,0.9,100,16,0.6037305415457407,0.2763294323797988,0.27506376801100296
AMR,-0.25,0.9,100,17,0.6249269819826482,0.3753315238310735,0.3437295770844372
AMR,-0.25,0.9,100,18,0.7859635972877078,0.4662190472997926,0.3135014263655078
AMR,-0.25,0.9,100,19,0.2780370325233852,0.015413275720182695,0.18831036226584386
AMR,-0.25,0.9,100,20,0.8713241221401133,0.44814037732667933,0.30376088641084364
