population.superpopulation,power,her,num_causals,pheno_num,train,val,test
EAS,-0.25,0.7,100,1,0.6428090268957867,0.3120630665957679,0.2200548273426287
EAS,-0.25,0.7,100,2,0.07580346604804056,0.006855230167652326,0.0711425560031893
EAS,-0.25,0.7,100,3,0.730424906485996,0.5011843214520224,0.44889877425973324
EAS,-0.25,0.7,100,4,0.49294666960779987,0.27461549322329426,0.2385446545230695
EAS,-0.25,0.7,100,5,0.805151986109341,0.2444561099545438,0.14843370141697398
EAS,-0.25,0.7,100,6,0.7473735311934873,0.38196595241202935,0.5175133608754903
EAS,-0.25,0.7,100,7,0.7703620130424372,0.4708919231294737,0.4146210226882686
EAS,-0.25,0.7,100,8,0.7435440158585755,0.3907240798535596,0.2002095362465438
EAS,-0.25,0.7,100,9,0.8527875015782278,0.5674921960944364,0.5357587617860549
EAS,-0.25,0.7,100,10,0.7351998314602359,0.26757039934061777,0.2119673746429105
EAS,-0.25,0.7,100,11,0.6246201202183204,0.3799952952537049,0.3361786933705958
EAS,-0.25,0.7,100,12,0.503742353803714,0.08394640362003025,0.0017906797212299264
EAS,-0.25,0.7,100,13,0.7352294398070173,0.24153359829416887,0.2950603014424169
EAS,-0.25,0.7,100,14,0.8626137343514295,0.5174321272957771,0.534014546481745
EAS,-0.25,0.7,100,15,0.5477329941654467,0.28241319728619885,0.13290349184567274
EAS,-0.25,0.7,100,16,0.7399301883552049,0.2979805212667621,0.35053616375375085
EAS,-0.25,0.7,100,17,0.5505360098734837,0.3015683316752569,0.24741460697940898
EAS,-0.25,0.7,100,18,0.3766032906115322,0.0173255706146781,0.11176580829479177
EAS,-0.25,0.7,100,19,0.6526322425551573,0.3789302058734426,0.40830805410080395
EAS,-0.25,0.7,100,20,0.3065247897380766,0.09468976688535569,0.18925191598013813
