population.superpopulation,power,her,num_causals,pheno_num,train,val,test
EUR,-1,0.3,50,1,0.19763434191814067,-0.04121239229038176,0.028830460010662584
EUR,-1,0.3,50,2,0.38565137740305633,-0.02424148388364844,-0.020968331724174005
EUR,-1,0.3,50,3,0.1784548363799564,-0.017615100850439713,0.009872847463063716
EUR,-1,0.3,50,4,0.3735922688060369,-0.011822025076430265,-0.0057378023830341185
EUR,-1,0.3,50,5,0.17173302287792047,-0.05881221394699532,-0.057311016419877125
EUR,-1,0.3,50,6,0.3925157761238245,-0.04115960091704096,0.04104857821542707
EUR,-1,0.3,50,7,0.09587739732072942,-0.0912777131408622,-0.021177512367548168
EUR,-1,0.3,50,8,0.04835282671027519,-0.024513740134354922,-0.035222233233344724
EUR,-1,0.3,50,9,0.38064028378843984,-0.021309678912194707,0.018795195828355094
EUR,-1,0.3,50,10,0.19565825496293487,-0.02469004341731118,0.019489501964537026
EUR,-1,0.3,50,11,0.49620392018880277,0.04042197582691376,-0.08125733771814514
EUR,-1,0.3,50,12,0.1667304062100844,-0.017582953665217227,0.12129659826893346
EUR,-1,0.3,50,13,0.1685567997238595,-0.05993570810198756,-0.0017670777416760597
EUR,-1,0.3,50,14,0.14959466852556003,-0.06440322010131361,-0.00896553171465242
EUR,-1,0.3,50,15,0.46731933829559436,0.007812508773034632,0.03056296378067147
EUR,-1,0.3,50,16,0.3873638860523061,-0.04008292817255987,-0.09403068107398393
EUR,-1,0.3,50,17,0.26918859821420094,0.009338408611631599,-0.006322523089307808
EUR,-1,0.3,50,18,0.08856823267700153,-0.045868814835350324,-0.020514862521514576
EUR,-1,0.3,50,19,0.1721656795260662,-0.087437254311715007,-0.026828172150681118
EUR,-1,0.3,50,20,0.23261166431758307,-0.05470889025878045,-0.002675736504081483
